Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/advancedfilterfailed/input_txtPassword""), password)",Chrome 120.0.0.0,,,27-12-2023 07:46:42,27-12-2023 07:46:42,0.348s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/span_Login""))",Chrome 120.0.0.0,,,27-12-2023 07:46:42,27-12-2023 07:46:43,0.324s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfilterfailed/span_Engineer Test""))",Chrome 120.0.0.0,,,27-12-2023 07:46:43,27-12-2023 07:46:45,2.112s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfilterfailed/span_Transaction""))",Chrome 120.0.0.0,,,27-12-2023 07:46:45,27-12-2023 07:46:46,0.693s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfilterfailed/span_View""))",Chrome 120.0.0.0,,,27-12-2023 07:46:46,27-12-2023 07:46:46,0.563s,PASSED
delay(2),Chrome 120.0.0.0,,,27-12-2023 07:46:46,27-12-2023 07:46:48,2.016s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/span_Advanced Filter""))",Chrome 120.0.0.0,,,27-12-2023 07:46:48,27-12-2023 07:46:49,0.481s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/divContentPlaceHolder1_AdvancedFilter1_cboF_b58eab""))",Chrome 120.0.0.0,,,27-12-2023 07:46:49,27-12-2023 07:46:49,0.798s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/li_Employee ID""))",Chrome 120.0.0.0,,,27-12-2023 07:46:49,27-12-2023 07:46:50,0.421s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/divContentPlaceHolder1_AdvancedFilter1_cboF_ea7e77""))",Chrome 120.0.0.0,,,27-12-2023 07:46:50,27-12-2023 07:46:50,0.414s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/li_Equal""))",Chrome 120.0.0.0,,,27-12-2023 07:46:50,27-12-2023 07:46:51,0.454s,PASSED
"setText(findTestObject(""Object Repository/advancedfilterfailed/input_ContentPlaceHolder1_AdvancedFilter1_t_8fd482""), ""abcde"")",Chrome 120.0.0.0,,,27-12-2023 07:46:51,27-12-2023 07:46:51,0.491s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/span_Add""))",Chrome 120.0.0.0,,,27-12-2023 07:46:51,27-12-2023 07:46:52,0.402s,PASSED
delay(2),Chrome 120.0.0.0,,,27-12-2023 07:46:52,27-12-2023 07:46:54,2.012s,PASSED
"click(findTestObject(""Object Repository/advancedfilterfailed/span_Filter""))",Chrome 120.0.0.0,,,27-12-2023 07:46:54,27-12-2023 07:46:54,0.438s,PASSED
delay(5),Chrome 120.0.0.0,,,27-12-2023 07:46:54,27-12-2023 07:46:59,5.009s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,27-12-2023 07:46:59,27-12-2023 07:46:59,0.174s,PASSED
