Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
transactionadvance,Chrome 120.0.0.0,,,22-12-2023 17:06:34,22-12-2023 17:07:25,50.478s,PASSED
,,,,,,,
Test Cases/advancefiltersuccess,Chrome 120.0.0.0,,,22-12-2023 17:06:34,22-12-2023 17:07:05,30.211s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,22-12-2023 17:06:35,22-12-2023 17:06:36,1.720s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,22-12-2023 17:06:36,22-12-2023 17:06:37,0.166s,PASSED
navigateToUrl(url),Chrome 120.0.0.0,,,22-12-2023 17:06:37,22-12-2023 17:06:37,0.819s,PASSED
"setText(findTestObject(""Object Repository/advancedfiltersuccess/input_txtUsername""), username)",Chrome 120.0.0.0,,,22-12-2023 17:06:37,22-12-2023 17:06:39,1.622s,PASSED
"setEncryptedText(findTestObject(""Object Repository/advancedfiltersuccess/input_txtPassword""), password)",Chrome 120.0.0.0,,,22-12-2023 17:06:39,22-12-2023 17:06:39,0.438s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/a_Login""))",Chrome 120.0.0.0,,,22-12-2023 17:06:39,22-12-2023 17:06:40,0.345s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfiltersuccess/span_Engineer Test""))",Chrome 120.0.0.0,,,22-12-2023 17:06:40,22-12-2023 17:06:42,2.228s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfiltersuccess/span_Transaction""))",Chrome 120.0.0.0,,,22-12-2023 17:06:42,22-12-2023 17:06:43,0.669s,PASSED
"doubleClick(findTestObject(""Object Repository/advancedfiltersuccess/span_View""))",Chrome 120.0.0.0,,,22-12-2023 17:06:43,22-12-2023 17:06:43,0.651s,PASSED
delay(2),Chrome 120.0.0.0,,,22-12-2023 17:06:43,22-12-2023 17:06:45,2.045s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/span_Advanced Filter""))",Chrome 120.0.0.0,,,22-12-2023 17:06:45,22-12-2023 17:06:46,0.496s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/divContentPlaceHolder1_AdvancedFilter1_cboF_b58eab""))",Chrome 120.0.0.0,,,22-12-2023 17:06:46,22-12-2023 17:06:47,0.768s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/li_Employee Name""))",Chrome 120.0.0.0,,,22-12-2023 17:06:47,22-12-2023 17:06:47,0.473s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/divContentPlaceHolder1_AdvancedFilter1_cboF_ea7e77""))",Chrome 120.0.0.0,,,22-12-2023 17:06:47,22-12-2023 17:06:47,0.428s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/li_Equal""))",Chrome 120.0.0.0,,,22-12-2023 17:06:47,22-12-2023 17:06:48,0.450s,PASSED
"setText(findTestObject(""Object Repository/advancedfiltersuccess/input_ContentPlaceHolder1_AdvancedFilter1_t_8fd482""), ""EngineerTest1"")",Chrome 120.0.0.0,,,22-12-2023 17:06:48,22-12-2023 17:06:48,0.533s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/span_Add""))",Chrome 120.0.0.0,,,22-12-2023 17:06:48,22-12-2023 17:06:49,0.462s,PASSED
delay(2),Chrome 120.0.0.0,,,22-12-2023 17:06:49,22-12-2023 17:06:51,2.004s,PASSED
"click(findTestObject(""Object Repository/advancedfiltersuccess/span_Filter""))",Chrome 120.0.0.0,,,22-12-2023 17:06:51,22-12-2023 17:06:51,0.449s,PASSED
delay(4),Chrome 120.0.0.0,,,22-12-2023 17:06:51,22-12-2023 17:06:55,4.022s,PASSED
