Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
transactionsearching,Chrome 120.0.0.0,,,22-12-2023 16:03:25,22-12-2023 16:06:05,2m - 39.976s,FAILED
,,,,,,,
Test Cases/viewtransaction,Chrome 120.0.0.0,,,22-12-2023 16:03:25,22-12-2023 16:03:42,17.380s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,22-12-2023 16:03:25,22-12-2023 16:03:27,1.930s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,22-12-2023 16:03:27,22-12-2023 16:03:27,0.253s,PASSED
navigateToUrl(url),Chrome 120.0.0.0,,,22-12-2023 16:03:27,22-12-2023 16:03:28,0.807s,PASSED
"setText(findTestObject(""Object Repository/viewtransaction/input_txtUsername""), username)",Chrome 120.0.0.0,,,22-12-2023 16:03:28,22-12-2023 16:03:30,1.679s,PASSED
"setEncryptedText(findTestObject(""Object Repository/viewtransaction/input_txtPassword""), password)",Chrome 120.0.0.0,,,22-12-2023 16:03:30,22-12-2023 16:03:30,0.367s,PASSED
"click(findTestObject(""Object Repository/viewtransaction/span_Login""))",Chrome 120.0.0.0,,,22-12-2023 16:03:30,22-12-2023 16:03:30,0.340s,PASSED
"doubleClick(findTestObject(""Object Repository/viewtransaction/span_Engineer Test""))",Chrome 120.0.0.0,,,22-12-2023 16:03:30,22-12-2023 16:03:33,2.254s,PASSED
"doubleClick(findTestObject(""Object Repository/viewtransaction/span_Transaction""))",Chrome 120.0.0.0,,,22-12-2023 16:03:33,22-12-2023 16:03:33,0.660s,PASSED
"doubleClick(findTestObject(""Object Repository/viewtransaction/span_View""))",Chrome 120.0.0.0,,,22-12-2023 16:03:33,22-12-2023 16:03:34,0.667s,PASSED
delay(8),Chrome 120.0.0.0,,,22-12-2023 16:03:34,22-12-2023 16:03:42,8.032s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,22-12-2023 16:03:42,22-12-2023 16:03:42,0.172s,PASSED
,,,,,,,
Test Cases/searchtransactionsuccess,Chrome 120.0.0.0,,,22-12-2023 16:03:42,22-12-2023 16:04:10,28.053s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,22-12-2023 16:03:42,22-12-2023 16:03:43,1.027s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,22-12-2023 16:03:43,22-12-2023 16:03:43,0.136s,PASSED
navigateToUrl(url),Chrome 120.0.0.0,,,22-12-2023 16:03:43,22-12-2023 16:03:44,0.805s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionsuccess/input_txtUsername""), username)",Chrome 120.0.0.0,,,22-12-2023 16:03:44,22-12-2023 16:03:45,0.905s,PASSED
"setEncryptedText(findTestObject(""Object Repository/searchingtransactionsuccess/input_txtPassword""), password)",Chrome 120.0.0.0,,,22-12-2023 16:03:45,22-12-2023 16:03:45,0.349s,PASSED
"click(findTestObject(""Object Repository/searchingtransactionsuccess/span_Login""))",Chrome 120.0.0.0,,,22-12-2023 16:03:45,22-12-2023 16:03:46,0.336s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionsuccess/span_Engineer Test""))",Chrome 120.0.0.0,,,22-12-2023 16:03:46,22-12-2023 16:03:48,2.209s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionsuccess/span_Transaction""))",Chrome 120.0.0.0,,,22-12-2023 16:03:48,22-12-2023 16:03:49,0.623s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionsuccess/span_View""))",Chrome 120.0.0.0,,,22-12-2023 16:03:49,22-12-2023 16:03:49,0.668s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionsuccess/input_textfield-1018""), ""Test"")",Chrome 120.0.0.0,Searching by employeeID,,22-12-2023 16:03:49,22-12-2023 16:03:51,1.268s,PASSED
"sendKeys(findTestObject(""searchingtransactionsuccess/input_textfield-1018""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,22-12-2023 16:03:51,22-12-2023 16:03:51,0.354s,PASSED
