Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/searchingtransactionsuccess/input_textfield-1029""), ""Pusat"")",Chrome 120.0.0.0,Searching by  District,,22-12-2023 16:08:40,22-12-2023 16:08:40,0.405s,PASSED
"sendKeys(findTestObject(""searchingtransactionsuccess/input_textfield-1029""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,22-12-2023 16:08:40,22-12-2023 16:08:41,0.342s,PASSED
delay(5),Chrome 120.0.0.0,,,22-12-2023 16:08:41,22-12-2023 16:08:46,5.014s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,22-12-2023 16:08:46,22-12-2023 16:08:46,0.200s,PASSED
,,,,,,,
Test Cases/searchingtransactionfailed,Chrome 120.0.0.0,,,22-12-2023 16:08:46,22-12-2023 16:09:14,28.565s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,22-12-2023 16:08:46,22-12-2023 16:08:47,1.131s,PASSED
maximizeWindow(),Chrome 120.0.0.0,,,22-12-2023 16:08:47,22-12-2023 16:08:47,0.164s,PASSED
navigateToUrl(url),Chrome 120.0.0.0,,,22-12-2023 16:08:47,22-12-2023 16:08:48,0.271s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionfailed/input_txtUsername""), username)",Chrome 120.0.0.0,,,22-12-2023 16:08:48,22-12-2023 16:08:49,1.653s,PASSED
"setEncryptedText(findTestObject(""Object Repository/searchingtransactionfailed/input_txtPassword""), password)",Chrome 120.0.0.0,,,22-12-2023 16:08:49,22-12-2023 16:08:50,0.344s,PASSED
"click(findTestObject(""Object Repository/searchingtransactionfailed/span_Login""))",Chrome 120.0.0.0,,,22-12-2023 16:08:50,22-12-2023 16:08:50,0.323s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionfailed/span_Engineer Test""))",Chrome 120.0.0.0,,,22-12-2023 16:08:50,22-12-2023 16:08:52,2.179s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionfailed/span_Transaction""))",Chrome 120.0.0.0,,,22-12-2023 16:08:52,22-12-2023 16:08:53,0.633s,PASSED
"doubleClick(findTestObject(""Object Repository/searchingtransactionfailed/span_View""))",Chrome 120.0.0.0,,,22-12-2023 16:08:53,22-12-2023 16:08:53,0.650s,PASSED
delay(2),Chrome 120.0.0.0,,,22-12-2023 16:08:53,22-12-2023 16:08:55,2.007s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionfailed/input_ContentPlaceHolder1_ctl38""), ""1994-12-12"")",Chrome 120.0.0.0,,,22-12-2023 16:08:55,22-12-2023 16:08:56,0.438s,PASSED
delay(4),Chrome 120.0.0.0,,,22-12-2023 16:08:56,22-12-2023 16:09:00,4.009s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionfailed/input_textfield-1021""), ""maya"")",Chrome 120.0.0.0,,,22-12-2023 16:09:00,22-12-2023 16:09:00,0.387s,PASSED
delay(4),Chrome 120.0.0.0,,,22-12-2023 16:09:00,22-12-2023 16:09:04,4.015s,PASSED
"clearText(findTestObject(""searchingtransactionfailed/input_ContentPlaceHolder1_ctl38""))",Chrome 120.0.0.0,,,22-12-2023 16:09:04,22-12-2023 16:09:05,0.355s,PASSED
"clearText(findTestObject(""searchingtransactionfailed/input_textfield-1021""))",Chrome 120.0.0.0,,,22-12-2023 16:09:05,22-12-2023 16:09:05,0.335s,PASSED
delay(4),Chrome 120.0.0.0,,,22-12-2023 16:09:05,22-12-2023 16:09:09,4.010s,PASSED
"setText(findTestObject(""Object Repository/searchingtransactionfailed/input_textfield-1029""), ""Yogyakarta"")",Chrome 120.0.0.0,,,22-12-2023 16:09:09,22-12-2023 16:09:09,0.390s,PASSED
delay(5),Chrome 120.0.0.0,,,22-12-2023 16:09:09,22-12-2023 16:09:14,5.012s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,22-12-2023 16:09:14,22-12-2023 16:09:14,0.171s,PASSED
